
Gemeinde,Bezirk,Bundesland,Gebietskennzahl,Einwohner,Vollimmunisiert %,Teilimmunisiert %,Vollimmunisiert,Teilimmunisiert
Abfaltersbach,Lienz,Tirol,70701,647,43.59,53.48,282,346
Absam,Innsbruck-Land,Tirol,70301,7319,46.19,62.59,3381,4581
Absdorf,Tulln,Niederösterreich,32101,2229,51.01,66.76,1137,1488
Abtenau,Hallein,Salzburg,50201,5894,38.36,47.18,2261,2781
Achau,Mödling,Niederösterreich,31701,1402,41.16,59.7,577,837
Achenkirch,Schwaz,Tirol,70901,2169,62.79,66.53,1362,1443
Aderklaa,Gänserndorf,Niederösterreich,30801,198,50,72.22,99,143
Adlwang,Steyr-Land,Oberösterreich,41501,1948,36.4,47.43,709,924
Admont,Liezen,Steiermark,61253,4954,41.42,57.35,2052,2841
Adnet,Hallein,Salzburg,50202,3675,35.56,46.94,1307,1725
Aflenz,Bruck-Mürzzuschlag,Steiermark,62138,2454,51.47,65.77,1263,1614
Afritz am See,Villach Land,Kärnten,20701,1433,41.45,51.99,594,745
Aggsbach,Krems (Land),Niederösterreich,31301,643,48.37,64.54,311,415
Aich,Liezen,Steiermark,61254,1319,29.26,45.87,386,605
Aichkirchen,Wels-Land,Oberösterreich,41801,613,32.14,40.46,197,248
Aigen im Ennstal,Liezen,Steiermark,61203,2710,35.9,49.48,973,1341
Aigen-Schlägl,Rohrbach,Oberösterreich,41343,3219,44.33,56.54,1427,1820
Ainet,Lienz,Tirol,70702,921,37.02,46.15,341,425
Aistersheim,Grieskirchen,Oberösterreich,40801,953,36.31,50.16,346,478
Albeck,Feldkirchen,Kärnten,21001,966,42.44,51.14,410,494
Alberndorf im Pulkautal,Hollabrunn,Niederösterreich,31001,745,48.99,64.43,365,480
Alberndorf in der Riedmark,Urfahr-Umgebung,Oberösterreich,41601,4214,37.4,50.26,1576,2118
Alberschwende,Bregenz,Vorarlberg,80201,3207,45.34,53.73,1454,1723
Albersdorf-Prebuch,Weiz,Steiermark,61701,2250,33.38,49.24,751,1108
Albrechtsberg an der Großen Krems,Krems (Land),Niederösterreich,31302,1005,44.48,59.4,447,597
Aldrans,Innsbruck-Land,Tirol,70302,2761,44.91,61.5,1240,1698
Alkoven,Eferding,Oberösterreich,40501,6068,43.69,56.94,2651,3455
Alland,Baden,Niederösterreich,30601,2606,42.17,60.25,1099,1570
Allentsteig,Zwettl,Niederösterreich,32501,1736,49.37,62.67,857,1088
Allerheiligen bei Wildon,Leibnitz,Steiermark,61001,1560,42.88,57.05,669,890
Allerheiligen im Mühlkreis,Perg,Oberösterreich,41101,1271,36.11,50.2,459,638
Allhaming,Linz-Land,Oberösterreich,41001,1208,44.54,56.71,538,685
Allhartsberg,Amstetten,Niederösterreich,30501,2180,35.28,52.11,769,1136
Alpbach,Kufstein,Tirol,70501,2538,35.03,48.42,889,1229
Altach,Feldkirch,Vorarlberg,80401,6877,44,55.23,3026,3798
Altaussee,Liezen,Steiermark,61204,1879,41.78,54.92,785,1032
Altenberg bei Linz,Urfahr-Umgebung,Oberösterreich,41602,4633,42.37,58.39,1963,2705
Altenburg,Horn,Niederösterreich,31101,801,41.95,59.68,336,478
Altendorf,Neunkirchen,Niederösterreich,31801,357,40.06,57.14,143,204
Altenfelden,Rohrbach,Oberösterreich,41304,2318,39.99,48.92,927,1134
Altenmarkt an der Triesting,Baden,Niederösterreich,30602,2067,37.2,52.2,769,1079
Altenmarkt bei Sankt Gallen,Liezen,Steiermark,61205,801,39.95,56.18,320,450
Altenmarkt im Pongau,Sankt Johann im Pongau,Salzburg,50401,4487,40,49.28,1795,2211
Altheim,Braunau am Inn,Oberösterreich,40401,4989,38.38,49.81,1915,2485
Althofen,Sankt Veit an der Glan,Kärnten,20501,4692,45.95,61.85,2156,2902
Altlengbach,Sankt Pölten (Land),Niederösterreich,31901,3121,41.69,60.94,1301,1902
Altlichtenwarth,Mistelbach,Niederösterreich,31601,750,53.2,66.67,399,500
Altmelon,Zwettl,Niederösterreich,32519,855,25.73,43.86,220,375
Altmünster,Gmunden,Oberösterreich,40701,9865,43.25,56.2,4267,5544
Altschwendt,Schärding,Oberösterreich,41401,695,37.7,49.35,262,343
Amaliendorf-Aalfang,Gmünd,Niederösterreich,30902,1078,38.13,54.36,411,586
Amlach,Lienz,Tirol,70703,492,38.62,52.85,190,260
Ampass,Innsbruck-Land,Tirol,70303,1832,39.25,55.19,719,1011
Ampflwang im Hausruckwald,Vöcklabruck,Oberösterreich,41701,3388,35.54,49.59,1204,1680
Amstetten,Amstetten,Niederösterreich,30502,23569,39.93,54.95,9411,12951
Andau,Neusiedl am See,Burgenland,10701,2265,57.66,72.19,1306,1635
Andelsbuch,Bregenz,Vorarlberg,80202,2611,46,52.62,1201,1374
Andlersdorf,Gänserndorf,Niederösterreich,30802,127,51.97,71.65,66,91
Andorf,Schärding,Oberösterreich,41402,5203,38.84,52.7,2021,2742
Andrichsfurt,Ried im Innkreis,Oberösterreich,41201,783,34.1,46.49,267,364
Angath,Kufstein,Tirol,70502,1031,30.26,49.66,312,512
Anger,Weiz,Steiermark,61756,3938,37.53,54.65,1478,2152
Angerberg,Kufstein,Tirol,70528,1925,35.48,56.83,683,1094
Angern an der March,Gänserndorf,Niederösterreich,30803,3436,40.8,62.51,1402,2148
Anif,Salzburg-Umgebung,Salzburg,50301,4327,46.54,58.75,2014,2542
Annaberg,Lilienfeld,Niederösterreich,31401,510,53.33,65.29,272,333
Annaberg-Lungötz,Hallein,Salzburg,50203,2229,37.6,50.07,838,1116
Anras,Lienz,Tirol,70704,1229,39.46,50.85,485,625
Ansfelden,Linz-Land,Oberösterreich,41002,17433,32.79,45.87,5716,7997
Antau,Mattersburg,Burgenland,10616,768,48.7,61.72,374,474
Anthering,Salzburg-Umgebung,Salzburg,50302,3737,37.76,54.24,1411,2027
Antiesenhofen,Ried im Innkreis,Oberösterreich,41202,1055,41.23,55.07,435,581
Apetlon,Neusiedl am See,Burgenland,10702,1746,57.85,69.76,1010,1218
Arbesbach,Zwettl,Niederösterreich,32502,1591,27.09,40.29,431,641
Arbing,Perg,Oberösterreich,41102,1525,36.46,53.64,556,818
Ardagger,Amstetten,Niederösterreich,30503,3536,38.63,53.73,1366,1900
Ardning,Liezen,Steiermark,61206,1240,45.32,57.34,562,711
Arnfels,Leibnitz,Steiermark,61002,961,46.41,56.5,446,543
Arnoldstein,Villach Land,Kärnten,20702,7039,38.93,49.69,2740,3498
Arnreit,Rohrbach,Oberösterreich,41305,1151,40.23,52.22,463,601
Arriach,Villach Land,Kärnten,20703,1326,32.5,42.91,431,569
Artstetten-Pöbring,Melk,Niederösterreich,31502,1241,39.48,51.33,490,637
Arzl im Pitztal,Imst,Tirol,70201,3140,38.06,53.09,1195,1667
Aschach an der Donau,Eferding,Oberösterreich,40502,2191,41.72,54.08,914,1185
Aschach an der Steyr,Steyr-Land,Oberösterreich,41502,2312,41.13,52.9,951,1223
Aschau im Zillertal,Schwaz,Tirol,70902,1866,54.45,60.61,1016,1131
Aschbach-Markt,Amstetten,Niederösterreich,30504,3785,37.41,53,1416,2006
Aspach,Braunau am Inn,Oberösterreich,40402,2604,32.03,44.09,834,1148
Aspang-Markt,Neunkirchen,Niederösterreich,31802,1764,45.75,58.79,807,1037
Aspangberg-St. Peter,Neunkirchen,Niederösterreich,31803,1887,36.78,49.44,694,933
Asparn an der Zaya,Mistelbach,Niederösterreich,31603,1877,42.19,59.83,792,1123
Asperhofen,Sankt Pölten (Land),Niederösterreich,31902,2266,38.31,54.06,868,1225
Assling,Lienz,Tirol,70705,1786,38.24,50.9,683,909
Asten,Linz-Land,Oberösterreich,41003,6835,40.12,52.35,2742,3578
Attersee am Attersee,Vöcklabruck,Oberösterreich,41702,1616,41.83,56.87,676,919
Attnang-Puchheim,Vöcklabruck,Oberösterreich,41703,9101,32.26,43.45,2936,3954
Atzbach,Vöcklabruck,Oberösterreich,41704,1229,34.09,44.75,419,550
Atzenbrugg,Tulln,Niederösterreich,32104,3147,45.63,62.79,1436,1976
Atzesberg,Rohrbach,Oberösterreich,41306,440,34.09,44.32,150,195
Au,Bregenz,Vorarlberg,80203,1781,48.34,54.18,861,965
Au am Leithaberge,Bruck an der Leitha,Niederösterreich,30701,951,48.58,65.83,462,626
Auberg,Rohrbach,Oberösterreich,41307,572,29.2,38.81,167,222
Auerbach,Braunau am Inn,Oberösterreich,40403,718,21.45,29.53,154,212
Auersthal,Gänserndorf,Niederösterreich,30804,1930,52.49,68.45,1013,1321
Aurach am Hongar,Vöcklabruck,Oberösterreich,41705,1776,34.57,48.59,614,863
Aurach bei Kitzbühel,Kitzbühel,Tirol,70401,1132,34.19,52.92,387,599
Aurolzmünster,Ried im Innkreis,Oberösterreich,41203,3084,40.82,53.15,1259,1639
Außervillgraten,Lienz,Tirol,70706,746,42.9,52.95,320,395
Axams,Innsbruck-Land,Tirol,70304,6111,44.76,61.66,2735,3768
Bach,Reutte,Tirol,70801,634,40.69,55.99,258,355
Bachmanning,Wels-Land,Oberösterreich,41802,739,38.43,52.1,284,385
Bad Aussee,Liezen,Steiermark,61207,4911,42.96,56.49,2110,2774
Bad Bleiberg,Villach Land,Kärnten,20705,2190,46.16,55.57,1011,1217
Bad Blumau,Hartberg-Fürstenfeld,Steiermark,62202,1633,39.01,56.52,637,923
Bad Deutsch-Altenburg,Bruck an der Leitha,Niederösterreich,30702,1906,45.17,63.33,861,1207
Bad Erlach,Wiener Neustadt (Land),Niederösterreich,32306,3225,41.33,57.24,1333,1846
Bad Fischau-Brunn,Wiener Neustadt (Land),Niederösterreich,32301,3477,45.7,62.21,1589,2163
Bad Gastein,Sankt Johann im Pongau,Salzburg,50403,3961,54.68,63.97,2166,2534
Bad Gleichenberg,Südoststeiermark,Steiermark,62375,5173,43.4,59.62,2245,3084
Bad Goisern am Hallstättersee,Gmunden,Oberösterreich,40702,7528,43.03,56.99,3239,4290
Bad Großpertholz,Gmünd,Niederösterreich,30910,1308,35.7,54.43,467,712
Bad Hall,Steyr-Land,Oberösterreich,41503,5592,42.47,55.4,2375,3098
Bad Häring,Kufstein,Tirol,70503,2882,36.16,56.97,1042,1642
Bad Hofgastein,Sankt Johann im Pongau,Salzburg,50402,6816,50.66,59.96,3453,4087
Bad Ischl,Gmunden,Oberösterreich,40703,14109,41.21,56.86,5814,8022
Bad Kleinkirchheim,Spittal an der Drau,Kärnten,20601,1678,44.99,57.03,755,957
Bad Kreuzen,Perg,Oberösterreich,41108,2284,28.55,40.72,652,930
Bad Leonfelden,Urfahr-Umgebung,Oberösterreich,41603,4270,40.02,52.3,1709,2233
Bad Mitterndorf,Liezen,Steiermark,61255,4940,38.4,51.88,1897,2563
Bad Pirawarth,Gänserndorf,Niederösterreich,30805,1774,44.42,61.84,788,1097
Bad Radkersburg,Südoststeiermark,Steiermark,62376,3179,59.04,69.14,1877,2198
Bad Sauerbrunn,Mattersburg,Burgenland,10611,2262,47.13,58.84,1066,1331
Bad Schallerbach,Grieskirchen,Oberösterreich,40802,4209,40.82,53.58,1718,2255
Bad Schönau,Wiener Neustadt (Land),Niederösterreich,32302,727,42.5,53.92,309,392
Bad St. Leonhard im Lavanttal,Wolfsberg,Kärnten,20901,4324,38.25,53.91,1654,2331
Bad Tatzmannsdorf,Oberwart,Burgenland,10901,1600,55.06,64.75,881,1036
Bad Traunstein,Zwettl,Niederösterreich,32528,992,38.21,55.85,379,554
Bad Vigaun,Hallein,Salzburg,50213,2089,34.85,44.9,728,938
Bad Vöslau,Baden,Niederösterreich,30603,12312,41.41,58.5,5098,7203
Bad Waltersdorf,Hartberg-Fürstenfeld,Steiermark,62264,3897,35.9,53.04,1399,2067
Bad Wimsbach-Neydharting,Wels-Land,Oberösterreich,41803,2577,36.05,49.79,929,1283
Bad Zell,Freistadt,Oberösterreich,40627,2934,37.7,52.08,1106,1528
Baden,Baden,Niederösterreich,30604,25817,46.76,61.86,12072,15970
Badersdorf,Oberwart,Burgenland,10931,288,61.11,72.57,176,209
Baldramsdorf,Spittal an der Drau,Kärnten,20602,1847,35.08,47.16,648,871
Bärnbach,Voitsberg,Steiermark,61626,5722,40.11,55.37,2295,3168
Bärnkopf,Zwettl,Niederösterreich,32503,350,38.86,51.14,136,179
Bartholomäberg,Bludenz,Vorarlberg,80101,2368,42.57,53.59,1008,1269
Baumgarten,Mattersburg,Burgenland,10617,885,52.99,66.21,469,586
Baumgartenberg,Perg,Oberösterreich,41103,1798,37.21,51.17,669,920
Baumkirchen,Innsbruck-Land,Tirol,70305,1297,45.8,59.68,594,774
Behamberg,Amstetten,Niederösterreich,30506,3455,33.86,46.25,1170,1598
Berg,Bruck an der Leitha,Niederösterreich,30703,914,37.96,52.19,347,477
Berg im Attergau,Vöcklabruck,Oberösterreich,41706,1070,31.96,46.64,342,499
Berg im Drautal,Spittal an der Drau,Kärnten,20603,1257,36.67,47.41,461,596
Bergern im Dunkelsteinerwald,Krems (Land),Niederösterreich,31303,1299,42.73,59.43,555,772
Bergheim,Salzburg-Umgebung,Salzburg,50303,5741,41.8,54.96,2400,3155
Bergland,Melk,Niederösterreich,31503,1916,33.61,47.13,644,903
Berndorf,Baden,Niederösterreich,30605,9076,38.56,54.19,3500,4918
Berndorf bei Salzburg,Salzburg-Umgebung,Salzburg,50304,1706,34.06,45.96,581,784
Bernhardsthal,Mistelbach,Niederösterreich,31604,1585,51.29,66.88,813,1060
Bernstein,Oberwart,Burgenland,10902,2079,52.43,66.67,1090,1386
Berwang,Reutte,Tirol,70802,597,46.9,64.66,280,386
Bezau,Bregenz,Vorarlberg,80204,2031,50.96,56.67,1035,1151
Biberbach,Amstetten,Niederösterreich,30507,2284,36.87,53.02,842,1211
Biberwier,Reutte,Tirol,70803,631,48.49,62.76,306,396
Bichlbach,Reutte,Tirol,70804,772,45.6,60.49,352,467
Biedermannsdorf,Mödling,Niederösterreich,31702,3135,51.71,69.22,1621,2170
Bildein,Güssing,Burgenland,10426,334,51.8,62.28,173,208
Bildstein,Bregenz,Vorarlberg,80205,806,43.67,54.34,352,438
Birgitz,Innsbruck-Land,Tirol,70306,1496,45.45,60.23,680,901
Birkfeld,Weiz,Steiermark,61757,4928,37.74,52.5,1860,2587
Bisamberg,Korneuburg,Niederösterreich,31201,4829,50.42,68.65,2435,3315
Bischofshofen,Sankt Johann im Pongau,Salzburg,50404,10544,46.16,55.95,4867,5899
Bischofstetten,Melk,Niederösterreich,31504,1236,44.82,57.77,554,714
Bizau,Bregenz,Vorarlberg,80206,1111,47.79,52.75,531,586
Bleiburg,Völkermarkt,Kärnten,20801,4071,38.05,51.27,1549,2087
Blindenmarkt,Melk,Niederösterreich,31505,2724,33.59,47.94,915,1306
Blons,Bludenz,Vorarlberg,80102,341,43.4,56.3,148,192
Bludenz,Bludenz,Vorarlberg,80103,14961,42.34,54.24,6334,8115
Bludesch,Bludenz,Vorarlberg,80104,2444,39.48,53.4,965,1305
Blumau-Neurißhof,Baden,Niederösterreich,30646,1891,35.8,54.26,677,1026
Bockfließ,Mistelbach,Niederösterreich,31605,1328,50.45,67.7,670,899
Bocksdorf,Güssing,Burgenland,10401,815,47.12,60.61,384,494
Böheimkirchen,Sankt Pölten (Land),Niederösterreich,31903,5121,42.16,57.22,2159,2930
Bramberg am Wildkogel,Zell am See,Salzburg,50601,3957,40.84,51.05,1616,2020
Brand,Bludenz,Vorarlberg,80105,766,43.34,60.05,332,460
Brand-Laaben,Sankt Pölten (Land),Niederösterreich,31904,1274,38.38,51.81,489,660
Brand-Nagelberg,Gmünd,Niederösterreich,30903,1485,43.23,59.53,642,884
Brandberg,Schwaz,Tirol,70903,368,46.2,48.91,170,180
Brandenberg,Kufstein,Tirol,70504,1531,37.49,56.24,574,861
Braunau am Inn,Braunau am Inn,Oberösterreich,40404,17438,37.88,50.01,6606,8721
Bregenz,Bregenz,Vorarlberg,80207,29534,43.14,54.58,12741,16120
Breitenau,Neunkirchen,Niederösterreich,31804,1565,41.34,58.47,647,915
Breitenau am Hochlantsch,Bruck-Mürzzuschlag,Steiermark,62105,1631,46.6,61.19,760,998
Breitenbach am Inn,Kufstein,Tirol,70505,3517,36.74,57.29,1292,2015
Breitenbrunn am Neusiedler See,Eisenstadt-Umgebung,Burgenland,10301,1883,59.16,68.83,1114,1296
Breitenfurt bei Wien,Mödling,Niederösterreich,31703,5891,58.78,71.07,3463,4187
Breitenstein,Neunkirchen,Niederösterreich,31805,304,47.7,58.88,145,179
Breitenwang,Reutte,Tirol,70805,1479,42.53,56.46,629,835
Brixen im Thale,Kitzbühel,Tirol,70402,2636,39.19,58.84,1033,1551
Brixlegg,Kufstein,Tirol,70506,3043,37.96,55.01,1155,1674
Bromberg,Wiener Neustadt (Land),Niederösterreich,32325,1183,38.8,58.75,459,695
Bruck am Ziller,Schwaz,Tirol,70904,1132,59.36,64.13,672,726
Bruck an der Großglocknerstraße,Zell am See,Salzburg,50602,4828,44.88,55.59,2167,2684
Bruck an der Leitha,Bruck an der Leitha,Niederösterreich,30704,8153,45.55,61.87,3714,5044
Bruck an der Mur,Bruck-Mürzzuschlag,Steiermark,62139,15650,46.65,61.2,7301,9578
Brückl,Sankt Veit an der Glan,Kärnten,20502,2742,46.21,58.02,1267,1591
Bruckneudorf,Neusiedl am See,Burgenland,10703,3053,47.4,62.3,1447,1902
Brunn am Gebirge,Mödling,Niederösterreich,31704,12024,47.1,64.98,5663,7813
Brunn an der Wild,Horn,Niederösterreich,31102,844,36.14,55.45,305,468
Brunnenthal,Schärding,Oberösterreich,41403,2085,40.91,52.76,853,1100
Buch,Bregenz,Vorarlberg,80208,610,44.92,57.21,274,349
Buch in Tirol,Schwaz,Tirol,70905,2596,61.25,66.26,1590,1720
Buch-St. Magdalena,Hartberg-Fürstenfeld,Steiermark,62205,2157,38.85,52.62,838,1135
Buchbach,Neunkirchen,Niederösterreich,31806,368,53.53,63.86,197,235
Buchkirchen,Wels-Land,Oberösterreich,41804,4028,41.78,55.09,1683,2219
Bürg-Vöstenhof,Neunkirchen,Niederösterreich,31842,162,40.12,53.7,65,87
Burgau,Hartberg-Fürstenfeld,Steiermark,62206,1050,48.1,60.29,505,633
Burgauberg-Neudauberg,Güssing,Burgenland,10402,1334,43.4,56.22,579,750
Burgkirchen,Braunau am Inn,Oberösterreich,40405,2743,35.58,46.04,976,1263
Burgschleinitz-Kühnring,Horn,Niederösterreich,31103,1337,44.2,63.2,591,845
Bürmoos,Salzburg-Umgebung,Salzburg,50305,4940,41.62,51.98,2056,2568
Bürs,Bludenz,Vorarlberg,80106,3352,44.12,58.17,1479,1950
Bürserberg,Bludenz,Vorarlberg,80107,561,38.86,49.02,218,275
Dalaas,Bludenz,Vorarlberg,80108,1647,39.89,52.7,657,868
Damüls,Bregenz,Vorarlberg,80209,327,58.41,64.22,191,210
Dechantskirchen,Hartberg-Fürstenfeld,Steiermark,62265,2004,36.43,54.34,730,1089
Dellach,Hermagor,Kärnten,20302,1210,37.69,51.4,456,622
Dellach im Drautal,Spittal an der Drau,Kärnten,20604,1597,42.71,54.54,682,871
Desselbrunn,Vöcklabruck,Oberösterreich,41707,1888,35.65,48.99,673,925
Deutsch Goritz,Südoststeiermark,Steiermark,62377,1795,43.62,60.22,783,1081
Deutsch Jahrndorf,Neusiedl am See,Burgenland,10704,626,50.96,60.86,319,381
Deutsch Kaltenbrunn,Jennersdorf,Burgenland,10501,1715,49.04,62.45,841,1071
Deutsch Schützen-Eisenberg,Oberwart,Burgenland,10903,1083,61.68,72.76,668,788
Deutsch-Griffen,Sankt Veit an der Glan,Kärnten,20503,881,49.49,59.82,436,527
Deutsch-Wagram,Gänserndorf,Niederösterreich,30808,9018,40.37,60.25,3641,5433
Deutschfeistritz,Graz-Umgebung,Steiermark,60659,4421,37.73,54.31,1668,2401
Deutschkreutz,Oberpullendorf,Burgenland,10801,3114,58.86,71.16,1833,2216
Deutschlandsberg,Deutschlandsberg,Steiermark,60344,11623,40.41,56.07,4697,6517
Dienten am Hochkönig,Zell am See,Salzburg,50603,721,57.56,66.71,415,481
Diersbach,Schärding,Oberösterreich,41404,1545,36.83,50.68,569,783
Dietach,Steyr-Land,Oberösterreich,41504,3307,42.33,55.37,1400,1831
Dietmanns,Waidhofen an der Thaya,Niederösterreich,32202,1025,52.1,62.15,534,637
Diex,Völkermarkt,Kärnten,20802,793,31.53,43.25,250,343
Dimbach,Perg,Oberösterreich,41104,965,31.81,40.52,307,391
Dobersberg,Waidhofen an der Thaya,Niederösterreich,32203,1564,38.87,53.01,608,829
Dobl-Zwaring,Graz-Umgebung,Steiermark,60660,3579,34.84,52.44,1247,1877
Dölsach,Lienz,Tirol,70707,2303,39.99,49.54,921,1141
Donnerskirchen,Eisenstadt-Umgebung,Burgenland,10302,1841,54.26,68.39,999,1259
Doren,Bregenz,Vorarlberg,80210,1034,40.62,51.35,420,531
Dorf an der Pram,Schärding,Oberösterreich,41405,1072,40.67,53.08,436,569
Dorfbeuern,Salzburg-Umgebung,Salzburg,50306,1580,35.82,47.41,566,749
Dorfgastein,Sankt Johann im Pongau,Salzburg,50405,1638,51.89,61.48,850,1007
Dorfstetten,Melk,Niederösterreich,31506,579,25.04,36.44,145,211
Dornbirn,Dornbirn,Vorarlberg,80301,50257,48.48,57.67,24365,28983
Drasenhofen,Mistelbach,Niederösterreich,31606,1091,51.7,64.89,564,708
Draßburg,Mattersburg,Burgenland,10601,1226,51.14,63.62,627,780
Draßmarkt,Oberpullendorf,Burgenland,10802,1372,51.38,65.82,705,903
Drosendorf-Zissersdorf,Horn,Niederösterreich,31104,1207,53.85,59.82,650,722
Drösing,Gänserndorf,Niederösterreich,30810,1106,49.73,63.2,550,699
Droß,Krems (Land),Niederösterreich,31356,1039,41.19,59.19,428,615
Dunkelsteinerwald,Melk,Niederösterreich,31507,2399,43.1,55.11,1034,1322
Düns,Feldkirch,Vorarlberg,80402,403,45.91,58.81,185,237
Dünserberg,Feldkirch,Vorarlberg,80403,140,34.29,46.43,48,65
Dürnkrut,Gänserndorf,Niederösterreich,30811,2250,46.18,64.53,1039,1452
Dürnstein,Krems (Land),Niederösterreich,31304,828,54.47,71.01,451,588
Ebbs,Kufstein,Tirol,70508,5716,33,50.91,1886,2910
Eben am Achensee,Schwaz,Tirol,70907,3352,58.41,62.74,1958,2103
Eben im Pongau,Sankt Johann im Pongau,Salzburg,50406,2551,38.89,49.2,992,1255
Ebenau,Salzburg-Umgebung,Salzburg,50307,1440,39.38,51.88,567,747
Ebenfurth,Wiener Neustadt (Land),Niederösterreich,32304,3182,32.9,48.11,1047,1531
Ebensee am Traunsee,Gmunden,Oberösterreich,40704,7597,46.27,61.96,3515,4707
Ebenthal,Gänserndorf,Niederösterreich,30812,903,41.97,64.12,379,579
Ebenthal in Kärnten,Klagenfurt Land,Kärnten,20402,8107,45.74,55.74,3708,4519
Eberau,Güssing,Burgenland,10403,928,57.97,67.46,538,626
Ebergassing,Bruck an der Leitha,Niederösterreich,30729,4006,41.09,57.21,1646,2292
Eberndorf,Völkermarkt,Kärnten,20803,5843,43.44,55.11,2538,3220
Eberschwang,Ried im Innkreis,Oberösterreich,41204,3457,40.76,51.92,1409,1795
Ebersdorf,Hartberg-Fürstenfeld,Steiermark,62209,1285,31.98,45.53,411,585
Eberstalzell,Wels-Land,Oberösterreich,41805,2820,26.77,36.67,755,1034
Eberstein,Sankt Veit an der Glan,Kärnten,20504,1216,45.81,58.55,557,712
Ebreichsdorf,Baden,Niederösterreich,30607,11422,43.82,58.44,5005,6675
Echsenbach,Zwettl,Niederösterreich,32504,1277,38.61,53.33,493,681
Eckartsau,Gänserndorf,Niederösterreich,30813,1353,45.16,62.45,611,845
Edelsbach bei Feldbach,Südoststeiermark,Steiermark,62311,1333,36.98,55.51,493,740
Edelschrott,Voitsberg,Steiermark,61627,1680,35.77,52.08,601,875
Edelstal,Neusiedl am See,Burgenland,10727,782,46.55,57.67,364,451
Edlbach,Kirchdorf an der Krems,Oberösterreich,40901,635,36.06,53.39,229,339
Edlitz,Neunkirchen,Niederösterreich,31807,889,40.72,56.02,362,498
Edt bei Lambach,Wels-Land,Oberösterreich,41806,2351,41.39,53.17,973,1250
Eferding,Eferding,Oberösterreich,40503,4276,37.63,52.48,1609,2244
Egg,Bregenz,Vorarlberg,80211,3652,44.5,51.81,1625,1892
Eggelsberg,Braunau am Inn,Oberösterreich,40406,2544,32.82,44.34,835,1128
Eggenburg,Horn,Niederösterreich,31105,3465,50.01,65.92,1733,2284
Eggendorf,Wiener Neustadt (Land),Niederösterreich,32305,5052,37.93,55.25,1916,2791
Eggendorf im Traunkreis,Linz-Land,Oberösterreich,41004,1090,38.81,52.94,423,577
Eggerding,Schärding,Oberösterreich,41406,1339,40.1,51.08,537,684
Eggern,Gmünd,Niederösterreich,30904,668,35.63,51.8,238,346
Eggersdorf bei Graz,Graz-Umgebung,Steiermark,60661,6911,40.92,55.75,2828,3853
Ehenbichl,Reutte,Tirol,70806,821,46.41,60.9,381,500
Ehrenhausen an der Weinstraße,Leibnitz,Steiermark,61049,2512,37.62,53.54,945,1345
Ehrwald,Reutte,Tirol,70807,2593,50.94,61.7,1321,1600
Eibiswald,Deutschlandsberg,Steiermark,60345,6373,38.6,51.95,2460,3311
Eichenberg,Bregenz,Vorarlberg,80212,417,36.93,45.56,154,190
Eichgraben,Sankt Pölten (Land),Niederösterreich,31905,4705,49.22,64.78,2316,3048
Eichkögl,Südoststeiermark,Steiermark,62314,1347,32.37,47.44,436,639
Eidenberg,Urfahr-Umgebung,Oberösterreich,41604,2101,40.03,54.5,841,1145
Eisenerz,Leoben,Steiermark,61101,3742,56.07,69.13,2098,2587
Eisenkappel-Vellach,Völkermarkt,Kärnten,20804,2230,40.22,50.18,897,1119
Eisenstadt,Eisenstadt (Stadt),Burgenland,10101,14895,50.03,63.11,7452,9400
Eisgarn,Gmünd,Niederösterreich,30906,681,34.65,53.16,236,362
Eitzing,Ried im Innkreis,Oberösterreich,41205,878,37.36,51.48,328,452
Elbigenalp,Reutte,Tirol,70808,884,43.55,53.73,385,475
Elixhausen,Salzburg-Umgebung,Salzburg,50308,3052,45.05,55.21,1375,1685
Ellbögen,Innsbruck-Land,Tirol,70307,1146,43.19,59.6,495,683
Ellmau,Kufstein,Tirol,70509,2866,33.71,51.92,966,1488
Elmen,Reutte,Tirol,70809,391,45.78,57.03,179,223
Elsbethen,Salzburg-Umgebung,Salzburg,50309,5494,47.8,59.76,2626,3283
Eltendorf,Jennersdorf,Burgenland,10502,901,47.95,59.38,432,535
Emmersdorf an der Donau,Melk,Niederösterreich,31553,1753,45.01,57.44,789,1007
Empersdorf,Leibnitz,Steiermark,61007,1406,39.4,57.04,554,802
Engelhartstetten,Gänserndorf,Niederösterreich,30814,2093,43.91,61.4,919,1285
Engelhartszell,Schärding,Oberösterreich,41407,909,46.53,58.64,423,533
Engerwitzdorf,Urfahr-Umgebung,Oberösterreich,41605,8859,43.06,58.61,3815,5192
Enns,Linz-Land,Oberösterreich,41005,11900,37.19,51.85,4426,6170
Ennsdorf,Amstetten,Niederösterreich,30508,3094,37.07,53.94,1147,1669
Enzenkirchen,Schärding,Oberösterreich,41408,1794,32.72,48.66,587,873
Enzenreith,Neunkirchen,Niederösterreich,31808,1983,48.61,63.29,964,1255
Enzersdorf an der Fischa,Bruck an der Leitha,Niederösterreich,30706,3422,49.56,66.54,1696,2277
Enzersfeld im Weinviertel,Korneuburg,Niederösterreich,31202,1781,50.53,69.17,900,1232
Enzesfeld-Lindabrunn,Baden,Niederösterreich,30608,4227,41.54,57.7,1756,2439
Erl,Kufstein,Tirol,70510,1553,26.98,43.27,419,672
Erlauf,Melk,Niederösterreich,31508,1093,39.62,52.52,433,574
