
Gemeinde,Bezirk,Bundesland,Gebietskennzahl,Einwohner,Vollimmunisiert %,Teilimmunisiert %,Vollimmunisiert,Teilimmunisiert
Wagrain,Sankt Johann im Pongau,Salzburg,50423,3116,39.7,51.38,1237,1601
Waidhofen an der Thaya,Waidhofen an der Thaya,Niederösterreich,32220,5289,46.91,59.94,2481,3170
Waidhofen an der Thaya-Land,Waidhofen an der Thaya,Niederösterreich,32221,1287,35.35,49.57,455,638
Waidhofen an der Ybbs,Waidhofen an der Ybbs (Stadt),Niederösterreich,30301,11134,41.13,53.75,4579,5985
Waidmannsfeld,Wiener Neustadt (Land),Niederösterreich,32331,1522,40.21,52.89,612,805
Waidring,Kitzbühel,Tirol,70419,2048,29.93,52.54,613,1076
Waizenkirchen,Grieskirchen,Oberösterreich,40831,3716,36.6,52.77,1360,1961
Walchsee,Kufstein,Tirol,70529,2041,32.68,43.66,667,891
Wald am Schoberpaß,Leoben,Steiermark,61119,550,36,54.73,198,301
Wald im Pinzgau,Zell am See,Salzburg,50626,1164,40.55,48.54,472,565
Waldbach-Mönichwald,Hartberg-Fürstenfeld,Steiermark,62279,1461,43.33,59,633,862
Waldburg,Freistadt,Oberösterreich,40623,1412,38.17,50.21,539,709
Waldegg,Wiener Neustadt (Land),Niederösterreich,32332,2019,38.19,54.38,771,1098
Waldenstein,Gmünd,Niederösterreich,30940,1178,42.44,56.96,500,671
Waldhausen,Zwettl,Niederösterreich,32529,1220,41.23,53.2,503,649
Waldhausen im Strudengau,Perg,Oberösterreich,41125,2844,33.65,43.21,957,1229
Walding,Urfahr-Umgebung,Oberösterreich,41626,4214,50.52,65.97,2129,2780
Waldkirchen am Wesen,Schärding,Oberösterreich,41428,1185,37.81,49.96,448,592
Waldkirchen an der Thaya,Waidhofen an der Thaya,Niederösterreich,32222,493,40.57,57,200,281
Waldneukirchen,Steyr-Land,Oberösterreich,41518,2238,43.66,55.36,977,1239
Waldzell,Ried im Innkreis,Oberösterreich,41234,2270,41.63,52.47,945,1191
Wallern an der Trattnach,Grieskirchen,Oberösterreich,40832,3085,43.79,55.2,1351,1703
Wallern im Burgenland,Neusiedl am See,Burgenland,10721,1672,57.66,72.37,964,1210
Wallsee-Sindelburg,Amstetten,Niederösterreich,30538,2194,43.89,59.39,963,1303
Walpersbach,Wiener Neustadt (Land),Niederösterreich,32333,1168,39.38,56.08,460,655
Wals-Siezenheim,Salzburg-Umgebung,Salzburg,50338,13575,41.81,55.66,5676,7556
Wang,Scheibbs,Niederösterreich,32015,1394,27.55,40.67,384,567
Wängle,Reutte,Tirol,70835,943,41.36,56.31,390,531
Wartberg an der Krems,Kirchdorf an der Krems,Oberösterreich,40922,2972,39.77,52.15,1182,1550
Wartberg ob der Aist,Freistadt,Oberösterreich,40624,4361,44.62,58.34,1946,2544
Warth,Neunkirchen,Niederösterreich,31843,1508,41.25,56.9,622,858
Warth,Bregenz,Vorarlberg,80239,171,46.78,50.29,80,86
Wartmannstetten,Neunkirchen,Niederösterreich,31844,1625,46.65,60.92,758,990
Wattenberg,Innsbruck-Land,Tirol,70366,776,35.7,50.64,277,393
Wattens,Innsbruck-Land,Tirol,70367,7984,42.94,58.69,3428,4686
Weer,Schwaz,Tirol,70937,1640,62.74,67.56,1029,1108
